,Bombe,Random,MegaFury,ScoreToReach,TimeOfGame,,Mode
lvl_1,1,1,0,,120,,contre la montre
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
lvl_10,1,1,1,5000,120,,Survival
lvl_11,1,0,0,5500,120,,Survival
lvl_12,1,1,0,6050,120,,Survival
lvl_13,1,1,0,6655,120,,Survival
lvl_14,1,1,1,7321,120,,Survival
lvl_15,1,1,1,8053,120,,Survival
lvl_16,1,1,1,8858,120,,Survival
lvl_17,1,1,1,9744,120,,Survival
lvl_18,1,1,1,10718,120,,Survival
lvl_19,1,1,1,11790,120,,Survival
lvl_20,1,1,1,12969,-10,,Survival
